contact_info,parsing_check,parsed,contact_id,name,email,first_name,last_name
"{""contact_id"": 4661, ""name"": ""Cecilia Velasco"", ""email"": ""cecilia.velasco@rodrigues.fr""}",True,"{'contact_id': 4661, 'name': 'Cecilia Velasco', 'email': 'cecilia.velasco@rodrigues.fr'}",4661,Cecilia Velasco,cecilia.velasco@rodrigues.fr,Cecilia,Velasco
"{""contact_id"": 3765, ""name"": ""Mariana Ellis"", ""email"": ""mariana.ellis@rossi.org""}",True,"{'contact_id': 3765, 'name': 'Mariana Ellis', 'email': 'mariana.ellis@rossi.org'}",3765,Mariana Ellis,mariana.ellis@rossi.org,Mariana,Ellis
"{""contact_id"": 4187, ""name"": ""Sofie Woods"", ""email"": ""sofie.woods@riviere.com""}",True,"{'contact_id': 4187, 'name': 'Sofie Woods', 'email': 'sofie.woods@riviere.com'}",4187,Sofie Woods,sofie.woods@riviere.com,Sofie,Woods
"{""contact_id"": 4941, ""name"": ""Jeanette Iannotti"", ""email"": ""jeanette.iannotti@yahoo.com""}",True,"{'contact_id': 4941, 'name': 'Jeanette Iannotti', 'email': 'jeanette.iannotti@yahoo.com'}",4941,Jeanette Iannotti,jeanette.iannotti@yahoo.com,Jeanette,Iannotti
"{""contact_id"": 2199, ""name"": ""Samuel Sorgatz"", ""email"": ""samuel.sorgatz@gmail.com""}",True,"{'contact_id': 2199, 'name': 'Samuel Sorgatz', 'email': 'samuel.sorgatz@gmail.com'}",2199,Samuel Sorgatz,samuel.sorgatz@gmail.com,Samuel,Sorgatz
"{""contact_id"": 5650, ""name"": ""Socorro Luna"", ""email"": ""socorro.luna@hotmail.com""}",True,"{'contact_id': 5650, 'name': 'Socorro Luna', 'email': 'socorro.luna@hotmail.com'}",5650,Socorro Luna,socorro.luna@hotmail.com,Socorro,Luna
"{""contact_id"": 5889, ""name"": ""Carolina Murray"", ""email"": ""carolina.murray@knight.com""}",True,"{'contact_id': 5889, 'name': 'Carolina Murray', 'email': 'carolina.murray@knight.com'}",5889,Carolina Murray,carolina.murray@knight.com,Carolina,Murray
"{""contact_id"": 4842, ""name"": ""Kayla Moon"", ""email"": ""kayla.moon@yahoo.de""}",True,"{'contact_id': 4842, 'name': 'Kayla Moon', 'email': 'kayla.moon@yahoo.de'}",4842,Kayla Moon,kayla.moon@yahoo.de,Kayla,Moon
"{""contact_id"": 3280, ""name"": ""Ariadna Geisel"", ""email"": ""ariadna.geisel@rangel.com""}",True,"{'contact_id': 3280, 'name': 'Ariadna Geisel', 'email': 'ariadna.geisel@rangel.com'}",3280,Ariadna Geisel,ariadna.geisel@rangel.com,Ariadna,Geisel
"{""contact_id"": 5468, ""name"": ""Danielle Ladeck"", ""email"": ""danielle.ladeck@scalfaro.net""}",True,"{'contact_id': 5468, 'name': 'Danielle Ladeck', 'email': 'danielle.ladeck@scalfaro.net'}",5468,Danielle Ladeck,danielle.ladeck@scalfaro.net,Danielle,Ladeck
